epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.3264,3.74322,6.35316,2.32956,0,0,0,0,3.55898,5.6521,1.96067,0.00033125,0.00033125,0.0672063
2,85.1304,2.70157,4.66741,1.65572,0.29581,0.05865,0.03945,0.02026,2.1292,3.57786,1.42698,0.000664543,0.000664543,0.0342062
3,115.767,2.36297,3.71597,1.46867,0.45605,0.09443,0.06832,0.03528,1.96397,3.12657,1.31137,0.000997673,0.000997673,0.00120601
4,147.013,2.164,3.2568,1.37529,0.38148,0.20539,0.11851,0.05711,1.95034,2.81786,1.28097,0.00099945,0.00099945,0.00099945
5,178.514,1.99082,2.91125,1.30508,0.42847,0.22899,0.16612,0.09456,1.54997,2.26583,1.10933,0.000999023,0.000999023,0.000999023
6,209.73,1.89031,2.6549,1.24903,0.43861,0.24939,0.19309,0.0938,1.80264,2.13428,1.19133,0.000998474,0.000998474,0.000998474
7,240.857,1.8127,2.5024,1.22511,0.3603,0.29206,0.23866,0.13712,1.55617,2.04448,1.10926,0.000997803,0.000997803,0.000997803
8,272.17,1.76473,2.38386,1.19703,0.47543,0.28453,0.28094,0.16574,1.45348,1.90933,1.07839,0.000997011,0.000997011,0.000997011
9,303.349,1.73212,2.26871,1.18475,0.58903,0.29632,0.29604,0.16459,1.52695,1.86803,1.09448,0.000996097,0.000996097,0.000996097
10,334.572,1.68921,2.18352,1.16286,0.6117,0.32692,0.34464,0.20925,1.39599,1.78517,1.06299,0.000995062,0.000995062,0.000995062
11,365.846,1.6801,2.15879,1.1637,0.5431,0.38291,0.3933,0.22509,1.48699,1.63613,1.0885,0.000993906,0.000993906,0.000993906
12,397.014,1.64664,2.0477,1.14247,0.57475,0.3869,0.41874,0.23715,1.45674,1.66251,1.05856,0.000992629,0.000992629,0.000992629
13,428.526,1.63075,1.98117,1.14174,0.61625,0.40739,0.42979,0.26481,1.31962,1.52928,1.03305,0.000991232,0.000991232,0.000991232
14,459.658,1.61073,1.90527,1.14153,0.69507,0.36576,0.44665,0.23055,1.65453,1.58177,1.11585,0.000989715,0.000989715,0.000989715
15,491.03,1.58772,1.91108,1.12049,0.50687,0.46349,0.46994,0.28286,1.37746,1.54512,1.03076,0.000988079,0.000988079,0.000988079
16,522.491,1.57343,1.84667,1.11273,0.69783,0.4024,0.49495,0.2851,1.42781,1.50277,1.05418,0.000986323,0.000986323,0.000986323
17,553.838,1.54003,1.80083,1.10241,0.65315,0.41993,0.54316,0.33258,1.30437,1.40691,1.01999,0.000984449,0.000984449,0.000984449
18,585.189,1.53239,1.75498,1.10568,0.58987,0.55359,0.56064,0.33186,1.42354,1.37466,1.06367,0.000982456,0.000982456,0.000982456
