epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.1042,3.51417,9.25009,2.09718,0,0,0,0,2.88089,5.88062,1.55616,0.00033125,0.00033125,0.0672063
2,101.728,2.78661,5.42507,1.37613,0.41525,0.02288,0.01635,0.00665,2.33169,4.07451,1.27048,0.000664543,0.000664543,0.0342062
3,139.656,2.49165,4.40915,1.30604,0.61515,0.07419,0.06801,0.03196,2.00314,3.21465,1.2028,0.000997673,0.000997673,0.00120601
4,177.917,2.31993,3.85382,1.22885,0.57442,0.11022,0.11198,0.05183,1.83376,2.73659,1.12141,0.00099945,0.00099945,0.00099945
5,215.892,2.19558,3.45513,1.19546,0.3813,0.14152,0.11923,0.04982,1.94782,2.72137,1.13284,0.000999023,0.000999023,0.000999023
6,254.114,2.10409,3.17047,1.1475,0.35876,0.21813,0.15869,0.08848,1.59518,2.38937,1.03146,0.000998474,0.000998474,0.000998474
7,292.406,2.0357,3.03958,1.14007,0.49141,0.18522,0.18002,0.08958,1.75898,2.43297,1.08896,0.000997803,0.000997803,0.000997803
8,330.569,2.00542,2.89566,1.11807,0.38434,0.26077,0.21057,0.11257,1.62479,2.13619,1.035,0.000997011,0.000997011,0.000997011
9,368.924,1.97685,2.75265,1.11348,0.30967,0.29274,0.23395,0.13147,1.60679,2.26996,1.02735,0.000996097,0.000996097,0.000996097
10,407.154,1.91897,2.6751,1.09734,0.51606,0.30428,0.2575,0.1423,1.54952,1.88253,1.00935,0.000995062,0.000995062,0.000995062
11,445.493,1.92641,2.60766,1.09355,0.42719,0.3303,0.31004,0.17507,1.54883,1.88038,1.00664,0.000993906,0.000993906,0.000993906
12,484.036,1.85831,2.48494,1.07364,0.49263,0.33679,0.33578,0.18732,1.54526,1.82381,1.00683,0.000992629,0.000992629,0.000992629
13,522.927,1.86009,2.44262,1.07763,0.50387,0.32591,0.32355,0.18426,1.57711,1.81309,1.01622,0.000991232,0.000991232,0.000991232
14,561.39,1.83489,2.3563,1.06416,0.42489,0.43657,0.36232,0.20477,1.47824,1.71318,1.00288,0.000989715,0.000989715,0.000989715
15,599.712,1.79393,2.29148,1.05468,0.50866,0.38299,0.38762,0.21045,1.55336,1.7836,1.01334,0.000988079,0.000988079,0.000988079
16,638.332,1.79527,2.25677,1.06361,0.56293,0.41929,0.45454,0.26036,1.42731,1.5568,0.98358,0.000986323,0.000986323,0.000986323
17,676.708,1.78341,2.20081,1.0475,0.50592,0.41792,0.44222,0.24575,1.52611,1.66945,1.01059,0.000984449,0.000984449,0.000984449
18,714.933,1.75027,2.11987,1.05178,0.49514,0.45096,0.48905,0.27877,1.42906,1.56848,0.99491,0.000982456,0.000982456,0.000982456
19,753.219,1.73867,2.10774,1.04123,0.41174,0.55216,0.4865,0.28901,1.35827,1.6467,0.96134,0.000980345,0.000980345,0.000980345
20,791.324,1.73647,2.07787,1.04329,0.60619,0.47091,0.51981,0.29199,1.45924,1.47275,0.99041,0.000978118,0.000978118,0.000978118
21,829.821,1.73681,2.02674,1.04747,0.60526,0.51716,0.55545,0.32176,1.42238,1.40613,0.98597,0.000975773,0.000975773,0.000975773
