               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069983,            0.021166,            0.081743,             0.64189,            0.056005,             0.02925,             0.01307,             0.04273,            0.010614,            0.077421,            0.070079,           0.0033246,           0.0033246
                   1,            0.047818,             0.01354,            0.071503,             0.75423,            0.073399,            0.063886,            0.033826,            0.038616,           0.0076072,             0.07206,            0.039947,           0.0065261,           0.0065261
                   2,            0.045295,            0.010835,             0.06431,             0.66796,             0.18336,             0.11539,            0.057952,            0.037387,            0.006959,            0.061992,           0.0096831,           0.0095956,           0.0095956
                   3,            0.042453,           0.0098017,            0.052464,             0.61887,             0.22183,             0.17871,            0.094358,            0.035236,           0.0066128,            0.051439,            0.009406,            0.009406,            0.009406
                   4,            0.039701,           0.0092568,            0.044037,             0.65398,             0.27762,             0.24606,             0.13758,            0.034986,           0.0064804,             0.04524,            0.009406,            0.009406,            0.009406
                   5,            0.037217,           0.0088607,            0.039409,             0.70246,             0.32698,             0.29056,             0.16549,            0.032642,           0.0062444,            0.040341,            0.009208,            0.009208,            0.009208
                   6,            0.036309,           0.0085913,            0.036456,             0.74721,              0.3385,             0.32899,             0.19417,            0.031273,           0.0059734,             0.03657,             0.00901,             0.00901,             0.00901
                   7,            0.035131,           0.0085071,            0.033957,             0.68945,             0.38128,             0.35193,             0.21251,            0.030152,            0.005976,            0.035701,            0.008812,            0.008812,            0.008812
                   8,            0.033914,           0.0083769,            0.031337,             0.71988,             0.41607,             0.41219,             0.24728,            0.028934,           0.0057987,            0.031805,            0.008614,            0.008614,            0.008614
                   9,            0.033267,           0.0081665,            0.028766,             0.71986,             0.45295,             0.44651,             0.28004,            0.030078,           0.0058419,            0.030527,            0.008416,            0.008416,            0.008416
                  10,            0.032723,           0.0080669,            0.027224,             0.75729,             0.43808,             0.45663,             0.27846,            0.028709,           0.0057143,            0.030718,            0.008218,            0.008218,            0.008218
                  11,            0.032286,           0.0078726,            0.026013,             0.79228,             0.48779,             0.52867,             0.33368,            0.028059,           0.0054739,            0.027187,             0.00802,             0.00802,             0.00802
                  12,            0.031859,           0.0078879,            0.025041,             0.79643,             0.49048,             0.56121,             0.35952,            0.028654,           0.0054405,            0.026607,            0.007822,            0.007822,            0.007822
                  13,            0.031469,           0.0076346,            0.022662,             0.68114,             0.53399,             0.54614,             0.35138,            0.027939,           0.0054998,            0.025312,            0.007624,            0.007624,            0.007624
                  14,            0.031019,            0.007461,            0.020985,             0.69596,             0.59596,             0.61667,             0.40613,            0.026661,           0.0053262,            0.022971,            0.007426,            0.007426,            0.007426
                  15,            0.030754,           0.0074596,            0.020632,             0.72988,             0.60155,             0.64248,             0.42029,            0.027524,           0.0052169,            0.023149,            0.007228,            0.007228,            0.007228
                  16,            0.030779,           0.0072283,             0.01892,             0.76624,             0.59704,              0.6385,             0.42051,            0.026674,           0.0052456,            0.021835,             0.00703,             0.00703,             0.00703
                  17,            0.029704,           0.0072833,            0.017938,             0.75885,             0.58489,             0.66398,             0.44159,            0.026932,           0.0051292,             0.02078,            0.006832,            0.006832,            0.006832
                  18,            0.029622,           0.0073426,             0.01758,             0.79496,             0.60258,             0.70248,              0.4613,            0.025946,             0.00508,            0.020598,            0.006634,            0.006634,            0.006634
                  19,            0.029316,           0.0070862,            0.016666,             0.80657,             0.62644,             0.69609,             0.46009,            0.025335,           0.0052709,            0.020076,            0.006436,            0.006436,            0.006436
                  20,            0.029151,           0.0070982,            0.015675,             0.80687,              0.6482,             0.70669,             0.47479,            0.025265,           0.0050933,            0.019526,            0.006238,            0.006238,            0.006238
                  21,             0.02854,           0.0070579,            0.014606,               0.725,             0.71445,              0.7328,             0.48995,            0.025042,           0.0050721,            0.018965,             0.00604,             0.00604,             0.00604
                  22,            0.028283,           0.0069192,            0.013873,             0.77419,             0.70799,             0.72925,             0.49058,            0.025012,           0.0048507,            0.018492,            0.005842,            0.005842,            0.005842
                  23,            0.028144,           0.0067602,            0.013565,             0.77723,             0.70779,             0.73085,             0.49637,            0.025012,           0.0050508,            0.017913,            0.005644,            0.005644,            0.005644
                  24,            0.027748,           0.0068002,            0.013052,              0.8173,              0.6892,             0.73789,             0.50912,            0.023919,           0.0049084,            0.018131,            0.005446,            0.005446,            0.005446
                  25,            0.027443,           0.0067044,            0.012229,             0.82218,             0.68708,             0.73686,             0.48864,            0.024439,           0.0049873,             0.01656,            0.005248,            0.005248,            0.005248
                  26,            0.026934,           0.0067468,            0.011991,             0.83188,             0.68804,             0.74528,             0.50329,             0.02448,           0.0049933,            0.016436,             0.00505,             0.00505,             0.00505
                  27,            0.026374,           0.0067627,            0.011658,             0.84247,              0.6983,             0.76553,             0.52294,            0.023618,           0.0050051,            0.016369,            0.004852,            0.004852,            0.004852
                  28,            0.026335,           0.0065463,             0.01078,             0.83195,             0.69981,             0.75788,              0.5148,            0.023731,            0.004826,            0.015429,            0.004654,            0.004654,            0.004654
                  29,            0.026198,           0.0064907,            0.010494,             0.81615,             0.69729,             0.75837,             0.53194,            0.023816,           0.0048697,            0.015775,            0.004456,            0.004456,            0.004456
                  30,            0.025403,           0.0064894,            0.010273,             0.85295,             0.69967,             0.76539,             0.53107,            0.023286,           0.0048852,            0.016032,            0.004258,            0.004258,            0.004258
                  31,            0.025476,           0.0064031,           0.0096639,             0.84391,              0.7008,             0.76476,              0.5375,            0.023279,           0.0049241,            0.016214,             0.00406,             0.00406,             0.00406
                  32,            0.025291,           0.0063436,           0.0095382,             0.82117,             0.71096,             0.77024,               0.533,            0.023687,           0.0048238,            0.015217,            0.003862,            0.003862,            0.003862
                  33,            0.024868,           0.0061306,           0.0093379,             0.75642,             0.77838,              0.7969,             0.56468,            0.022773,           0.0047886,            0.015851,            0.003664,            0.003664,            0.003664
                  34,            0.024474,           0.0063035,           0.0088492,             0.74767,             0.77324,             0.78164,             0.55256,            0.022823,           0.0048762,            0.014263,            0.003466,            0.003466,            0.003466
                  35,            0.024245,           0.0062284,           0.0087461,             0.78031,             0.75886,             0.79027,             0.56491,            0.022313,           0.0048201,            0.016889,            0.003268,            0.003268,            0.003268
