epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.161,1.43166,4.57156,1.04203,0.3402,0.25212,0.21281,0.13839,1.19902,2.3451,0.98855,5.95816e-05,5.95816e-05,5.95816e-05
2,444.891,1.26988,2.83528,0.97441,0.56384,0.51208,0.53027,0.35481,1.09683,1.58782,0.98146,0.000116887,0.000116887,0.000116887
3,661.556,1.17272,2.10019,0.95401,0.74274,0.66135,0.72202,0.48618,1.04686,1.24411,0.95644,0.00017183,0.00017183,0.00017183
4,874.174,1.11464,1.65869,0.94339,0.78381,0.76108,0.81414,0.56487,0.99308,1.0156,0.9504,0.000168367,0.000168367,0.000168367
5,1087.06,1.06599,1.36858,0.9308,0.82076,0.7934,0.85348,0.59329,0.95913,0.94241,0.94214,0.000164823,0.000164823,0.000164823
6,1300.08,1.03175,1.19997,0.92296,0.87467,0.83909,0.89418,0.63603,0.92948,0.84197,0.93446,0.000161279,0.000161279,0.000161279
7,1516.8,1.01225,1.08353,0.91599,0.86433,0.84803,0.90013,0.64446,0.92099,0.83123,0.92548,0.000157735,0.000157735,0.000157735
8,1729.53,0.99267,0.99837,0.91444,0.8896,0.86843,0.92253,0.66897,0.88842,0.77003,0.91577,0.000154191,0.000154191,0.000154191
9,1941.82,0.97043,0.93139,0.91023,0.90732,0.88066,0.93247,0.67599,0.89477,0.72116,0.91889,0.000150646,0.000150646,0.000150646
10,2155.31,0.96106,0.88348,0.90417,0.90929,0.88654,0.93668,0.68314,0.87789,0.72027,0.91032,0.000147102,0.000147102,0.000147102
11,2370.45,0.95004,0.84692,0.90317,0.91229,0.89366,0.94348,0.69383,0.86211,0.69658,0.91191,0.000143558,0.000143558,0.000143558
12,2589.18,0.93925,0.81361,0.90229,0.92611,0.91116,0.95254,0.70084,0.86379,0.66698,0.90932,0.000140014,0.000140014,0.000140014
13,2803.42,0.93035,0.78369,0.89984,0.92662,0.91004,0.95121,0.70808,0.85198,0.64041,0.90114,0.00013647,0.00013647,0.00013647
14,3016.11,0.91473,0.76129,0.89666,0.93371,0.91051,0.95288,0.7097,0.8442,0.64664,0.90192,0.000132925,0.000132925,0.000132925
15,3230.92,0.9048,0.73489,0.89121,0.93119,0.92032,0.95563,0.71738,0.83705,0.63213,0.89694,0.000129381,0.000129381,0.000129381
16,3443.68,0.89546,0.71875,0.88791,0.94882,0.9124,0.95852,0.71942,0.83272,0.61648,0.89632,0.000125837,0.000125837,0.000125837
17,3656.27,0.89002,0.70165,0.89285,0.94555,0.91626,0.95689,0.72348,0.82024,0.59223,0.89636,0.000122293,0.000122293,0.000122293
18,3867.08,0.88912,0.68826,0.88882,0.93468,0.9328,0.96072,0.72718,0.82707,0.58994,0.89565,0.000118749,0.000118749,0.000118749
19,4080.22,0.87755,0.67068,0.88599,0.94267,0.93153,0.96165,0.73069,0.81403,0.57538,0.88995,0.000115204,0.000115204,0.000115204
20,4292.45,0.86256,0.64954,0.8835,0.94477,0.9297,0.96389,0.73598,0.80637,0.56985,0.88759,0.00011166,0.00011166,0.00011166
21,4504.84,0.85808,0.63338,0.88273,0.95539,0.9311,0.96497,0.73995,0.80157,0.55242,0.88479,0.000108116,0.000108116,0.000108116
22,4715.76,0.85786,0.6377,0.88246,0.95239,0.93232,0.96349,0.74104,0.79486,0.55654,0.8855,0.000104572,0.000104572,0.000104572
23,4927.7,0.84939,0.62585,0.87837,0.9451,0.93941,0.96625,0.74119,0.79741,0.54544,0.88719,0.000101028,0.000101028,0.000101028
24,5138.48,0.84854,0.61015,0.87742,0.9464,0.9408,0.96523,0.74052,0.79584,0.53548,0.88442,9.74834e-05,9.74834e-05,9.74834e-05
25,5347.58,0.83763,0.60341,0.87614,0.94582,0.94693,0.96755,0.74844,0.78517,0.5262,0.88371,9.39392e-05,9.39392e-05,9.39392e-05
26,5556.23,0.83246,0.59673,0.87591,0.94572,0.94704,0.96814,0.7486,0.7792,0.52432,0.87702,9.0395e-05,9.0395e-05,9.0395e-05
27,5771.77,0.83216,0.58427,0.87378,0.95085,0.94249,0.96919,0.75297,0.78061,0.51391,0.88322,8.68508e-05,8.68508e-05,8.68508e-05
28,5986.25,0.82541,0.57842,0.87199,0.95327,0.94273,0.96909,0.75602,0.77595,0.50901,0.88066,8.33066e-05,8.33066e-05,8.33066e-05
29,6201.11,0.82047,0.57363,0.87424,0.9535,0.94179,0.97025,0.75557,0.76956,0.50492,0.87528,7.97624e-05,7.97624e-05,7.97624e-05
30,6421,0.8201,0.56424,0.87126,0.95127,0.94601,0.96925,0.75452,0.77213,0.50937,0.8776,7.62182e-05,7.62182e-05,7.62182e-05
31,6642.56,0.80901,0.55677,0.8707,0.95225,0.94794,0.97079,0.75992,0.76886,0.5152,0.87693,7.2674e-05,7.2674e-05,7.2674e-05
32,6861.07,0.8123,0.55396,0.87215,0.95685,0.94542,0.97131,0.75931,0.76444,0.50016,0.87323,6.91298e-05,6.91298e-05,6.91298e-05
33,7080.53,0.81336,0.54998,0.87177,0.95579,0.94959,0.97249,0.76381,0.76169,0.49493,0.87376,6.55856e-05,6.55856e-05,6.55856e-05
34,7301.78,0.80305,0.54254,0.86771,0.95613,0.94588,0.97203,0.76514,0.75599,0.49417,0.87107,6.20414e-05,6.20414e-05,6.20414e-05
